year,rank,artist,song,duration,genre0,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genre11,genre12,genre13,genre14,genre15,genre16
1952,10,Percy Faith,Delicado,168000,dance,jazz,rock,disco,,,,,,,,,,,,,
1952,11,Georgia Gibbs,Kiss Of Fire,147000,jazz,rock,,,,,,,,,,,,,,,
1952,12,Eddie Fisher and Hugo Winterhalter,Any Time,158000,,,,,,,,,,,,,,,,,
1952,13,Four Aces,Tell Me Why,190000,rock,,,,,,,,,,,,,,,,
1952,14,Ella Mae Morse,Blacksmith Blues,185000,jazz,blues,r&b,soul,rock,,,,,,,,,,,,
1952,15,Jo Stafford,Jambalaya,176000,country,jazz,,,,,,,,,,,,,,,
1952,16,Rosemary Clooney,Botch-a-me,140000,jazz,,,,,,,,,,,,,,,,
1952,17,Doris Day,A Guy Is A Guy,164000,jazz,rock,soul,blues,funk,electronic,,,,,,,,,,,
1952,18,Johnnie Ray,The Little White Cloud That Cried,137000,rock,jazz,soul,country,blues,,,,,,,,,,,,
1952,19,Frankie Laine,High Noon,147000,country,jazz,folk,rock,soul,r&b,,,,,,,,,,,
1952,20,Eddie Fisher and Hugo Winterhalter,I'm Yours,169000,,,,,,,,,,,,,,,,,
1952,21,Mills Brothers,Glow Worm,160000,jazz,,,,,,,,,,,,,,,,
1952,22,Johnny Standley,It's In The Book,366000,,,,,,,,,,,,,,,,,
1952,23,Pee Wee King,Slow Poke,182000,country,rock,,,,,,,,,,,,,,,
1952,24,Johnnie Ray,Walkin' My Baby Back Home,142000,rock,jazz,soul,country,blues,,,,,,,,,,,,
1952,25,Les Paul,Meet Mr. Callaghan,110000,jazz,blues,rock,country,,,,,,,,,,,,,
1952,26,Don Cornell,I'm Yours,186000,jazz,,,,,,,,,,,,,,,,
1952,27,Don Cornell,I'll Walk Alone,188000,jazz,,,,,,,,,,,,,,,,
1952,28,Eddie Fisher and Hugo Winterhalter,Tell Me Why,153000,,,,,,,,,,,,,,,,,
1952,29,Hilltoppers,Trying,185000,,,,,,,,,,,,,,,,,
1952,30,Johnnie Ray,"Please, Mr. Sun",180000,rock,jazz,soul,country,blues,,,,,,,,,,,,
1953,1,Percy Faith,Song From Moulin Rouge,198000,jazz,rock,disco,dance,,,,,,,,,,,,,
1953,2,Les Paul and Mary Ford,Vaya Con Dios,169000,jazz,,,,,,,,,,,,,,,,
1953,3,Patti Page,Doggie In The Window,135000,jazz,country,folk,,,,,,,,,,,,,,
1953,4,Eddie Fisher,I'm Walking Behind You,186000,jazz,blues,r&b,country,,,,,,,,,,,,,
1953,5,Ames Brothers,"You, You, You",172000,jazz,,,,,,,,,,,,,,,,
